,ID,Latitude,Longitude,nasapid,LatNP,LonNP,geometry,2022-01-02_standing water,2022-01-04,2022-01-07,2022-01-09,2022-01-14,2022-01-19,2022-02-03,2022-02-08,2022-02-11,2022-02-21,2022-02-23,2022-02-28,2022-03-03,2022-03-05,2022-03-13,total_area
18,5518609,16.4583333333,-15.9583333333,152969,16.25,-15.75,"MULTIPOLYGON (((-16 16.41666666666663, -16 16.5, -15.916666666666686 16.5, -15.916666666666686 16.41666666666663, -16 16.41666666666663)))",31.380000000000003,0.012460074800895386,0.0366130033229394,0.0426913660453482,0.0847912008463447,0.09469302941098402,0.1106289822502708,0.1126867020489985,0.19889353322370626,0.20418065970901214,0.21073679766724346,0.21973616189755135,0.7936061539472703,0.8285305125213767,0.8406986135670471,7911.67
19,5501323,16.125,-16.4583333333,152968,16.25,-16.25,"MULTIPOLYGON (((-16.5 16.083333333333428, -16.5 16.166666666666686, -16.416666666666686 16.166666666666686, -16.416666666666686 16.083333333333428, -16.5 16.083333333333428)))",174.45000000000002,0.0,2.24970613213649e-05,0.8251472151450217,0.9481667707155753,0.9481667707155753,0.9481667707155753,0.9500790209278913,0.9509423456560987,0.9509423456560987,0.9509423456560987,0.9509423456560987,0.9509423456560987,0.9509423456560987,0.9509423456560987,3556.02
20,5522936,16.5416666667,-15.375,153690,16.75,-15.25,"MULTIPOLYGON (((-15.416666666666686 16.5, -15.416666666666686 16.583333333333314, -15.333333333333258 16.583333333333314, -15.333333333333258 16.5, -15.416666666666686 16.5)))",0.16,2.734120456233567e-05,0.019312004155863094,0.019312004155863094,0.09998222821703448,0.09998222821703448,0.09998222821703448,0.1007660094144881,0.9999270901211671,0.9999270901211671,0.9999270901211671,0.9999270901211671,0.9999270901211671,0.9999270901211671,0.9999544313257295,2194.4900000000002
21,5518608,16.4583333333,-16.0416666667,152968,16.25,-16.25,"MULTIPOLYGON (((-16.08333333333337 16.41666666666663, -16.08333333333337 16.5, -16 16.5, -16 16.41666666666663, -16.08333333333337 16.41666666666663)))",1848.74,0.07510829643083897,0.11256265387201599,0.11279572225749503,0.13996560232103963,0.140709010102309,0.2129200253964172,0.21326159113375714,0.23179990409369886,0.23573661665072693,0.24544645990554034,0.25531971892488503,0.2827146305330301,0.28668081150661295,0.34731743646207547,7465.620000000001
22,5522935,16.5416666667,-15.4583333333,153690,16.75,-15.25,"MULTIPOLYGON (((-15.5 16.5, -15.5 16.583333333333314, -15.416666666666686 16.583333333333314, -15.416666666666686 16.5, -15.5 16.5)))",1.61,0.0,0.11703825692612425,0.11703825692612425,0.1441448528936138,0.1441448528936138,0.1441448528936138,0.14465883800902446,0.9997185319606084,0.9997185319606084,0.9997185319606084,0.9997185319606084,0.9997185319606084,0.9997185319606084,0.9997185319606084,5720.01
23,5518607,16.4583333333,-16.125,152968,16.25,-16.25,"MULTIPOLYGON (((-16.16666666666663 16.41666666666663, -16.16666666666663 16.5, -16.08333333333337 16.5, -16.08333333333337 16.41666666666663, -16.16666666666663 16.41666666666663)))",7626.110000000001,0.04421470905172414,0.044889361623067774,0.04510302095719382,0.05101348840665874,0.0510390346313912,0.05946348283293698,0.060022016200951246,0.060048723617717,0.06005104600178359,0.06079188651902497,0.06163607312722949,0.06296215442925089,0.06330354488703924,0.10324738964030916,8611.84
24,5518606,16.4583333333,-16.2083333333,152968,16.25,-16.25,"MULTIPOLYGON (((-16.25 16.41666666666663, -16.25 16.5, -16.16666666666663 16.5, -16.16666666666663 16.41666666666663, -16.25 16.41666666666663)))",7481.660000000001,0.05332947401703679,0.0562960328088383,0.05632160659152624,0.10487808280325857,0.10487808280325857,0.1050477997247331,0.11064380835472232,0.1263542480377934,0.1263542480377934,0.12636238515046683,0.12738766134731988,0.12785147676970576,0.1278526392143734,0.18118095078674254,8602.560000000001
25,5501327,16.125,-16.125,152968,16.25,-16.25,"MULTIPOLYGON (((-16.16666666666663 16.083333333333428, -16.16666666666663 16.166666666666686, -16.08333333333337 16.166666666666686, -16.08333333333337 16.083333333333428, -16.16666666666663 16.083333333333428)))",0.0,0.10874612309292027,0.10880438874845372,0.10880438874845372,0.10880438874845372,0.10880438874845372,0.10880438874845372,0.10882231664246401,0.28575270263002206,0.28580200433855035,0.28580200433855035,0.28580200433855035,0.28580200433855035,0.28580200433855035,0.3945481274314706,2231.1600000000003
26,5518613,16.4583333333,-15.625,152969,16.25,-15.75,"MULTIPOLYGON (((-15.666666666666629 16.41666666666663, -15.666666666666629 16.5, -15.583333333333371 16.5, -15.583333333333371 16.41666666666663, -15.666666666666629 16.41666666666663)))",0.15,0.012011475172595789,0.5531535442790135,0.5531535442790135,0.5993649496471469,0.5993649496471469,0.5993649496471469,0.600186428990985,0.9995956448825668,0.9995956448825668,0.9995956448825668,0.9995956448825668,0.9995956448825668,0.9995956448825668,1.0116071200551626,2349.42
27,5501326,16.125,-16.2083333333,152968,16.25,-16.25,"MULTIPOLYGON (((-16.25 16.083333333333428, -16.25 16.166666666666686, -16.16666666666663 16.166666666666686, -16.16666666666663 16.083333333333428, -16.25 16.083333333333428)))",0.19,0.20606830043986202,0.20612600828428165,0.20612600828428165,0.20671430769822643,0.20671430769822643,0.20671430769822643,0.20676880955128946,0.2510868310699034,0.2510868310699034,0.2510868310699034,0.2510868310699034,0.2510868310699034,0.2510868310699034,0.45715513150976544,6238.320000000001
28,5518612,16.4583333333,-15.7083333333,152969,16.25,-15.75,"MULTIPOLYGON (((-15.75 16.41666666666663, -15.75 16.5, -15.666666666666629 16.5, -15.666666666666629 16.41666666666663, -15.75 16.41666666666663)))",0.36000000000000004,0.07643500732260433,0.4609914116601825,0.48591666430017405,0.5955731712759181,0.608096650263492,0.608486107335992,0.6105834959451839,0.7173799275447571,0.7483782764090435,0.7484188448540956,0.7499766731440951,0.7537454816894323,0.7626989375124241,0.8391096037679971,2464.9700000000003
